lat,lon
-38.125,140.538
-38.158,140.532
-38.139,140.519
-38.13,140.512
-38.238,140.493
-38.107,140.48
-38.105,140.456
-37.97,140.358
-38.028,140.35
-38.064,140.328
-38.008,140.32
-37.993,140.318
-37.998,140.31
-37.963,140.293
-37.99,140.29
-37.998,140.28
-38.14,140.241
-37.963,140.228
-37.862,140.16
-37.832,140.152
-37.863,140.145
-37.84,140.14
-37.838,140.133
-37.842,140.13
-37.872,140.103
-37.855,140.086
-37.89,140.085
-37.753,140.082
-37.728,140.058
-37.795,140.021
78.222271,14.790504
78.28,14.78
78.253624,14.551702
79.8903,14.4406
78.2077,14.425
78.224527,14.374607
79.889737,14.321
79.885879,14.310027
79.822796,14.285669
78.16957,14.169617
79.7836,14.135628
79.759428,14.093288
78.2,14.0
-37.708,139.997
-37.69,139.983
-37.698,139.977
-37.7,139.972
-37.718,139.958
-37.666,139.958
-37.687,139.95
-37.652,139.947
-37.675,139.918
-37.708,139.908
-37.812,139.838
-37.71,139.792
-37.441,139.768
-37.613,139.732
-37.495,139.725
-37.489,139.71
-37.531,139.52
-37.441,139.486
-37.498,139.482
-37.505,139.473
-37.54,139.469
-37.536,139.467
-37.473,139.463
-37.493,139.4
-37.428,139.355
-37.3058,139.3423
-37.4,139.33
-37.3217,139.3217
-37.387,139.317
-37.264,139.298
-37.392,139.285
-37.262,139.285
-37.3007,139.273
-37.308,139.2727
-37.282,139.271
-37.343,139.2635
-37.322,139.253
-37.285,139.248
-37.313,139.243
-37.3083,139.2333
-37.305,139.217
-37.277,139.173
-37.207,139.135
-37.204,139.1115
-37.2458,139.105
-37.189,139.103
-37.211,139.1
-37.2567,139.0908
-37.1915,139.082
-37.196,139.0245
-37.2037,139.012
-37.143,139.01
-37.1338,139.008
-37.1815,138.9867
-37.192,138.98
-37.179,138.969
-37.2178,138.9687
-37.1928,138.9445
-37.081,138.914
-37.106,138.89
43.5,-138.5
41.5,-138.5
-37.02,138.158
-36.99552,137.98381
-37.0443,137.94074
-37.02903,137.93094
-37.03663,137.92809
-37.016,137.89
-37.04762,137.82671
-37.012,137.814
-36.968,137.78
-36.961,137.741
-36.777,137.687
-36.855,137.591
-36.897,137.568
-36.88405,137.51907
-36.87887,137.51447
-36.886,137.503
43.5,-137.5
42.5,-137.5
41.5,-137.5
40.5,-137.5
-36.886,137.48
-36.73681,137.4184
-36.75005,137.41044
-36.75067,137.38076
-36.74033,137.37428
-36.66005,137.2717
-36.69349,137.16532
-36.63406,137.00993
-36.6398,136.99474
-36.46059,136.6013
-36.45112,136.59702
-36.47787,136.58162
43.5,-136.5
42.5,-136.5
41.5,-136.5
40.5,-136.5
33.5,-136.5
32.5,-136.5
-36.31204,136.42844
-36.30704,136.37418
-36.378,136.062
-36.09531,136.0444
-36.11681,136.04317
-36.10981,136.0386
-36.06939,136.03677
-35.79941,135.89579
-35.80023,135.8796
-35.79678,135.86438
-35.97312,135.7925
-35.95859,135.79197
-35.97632,135.78668
-36.086,135.776
-36.01238,135.76974
-35.75213,135.74275
-35.73593,135.72875
-35.76039,135.72712
-36.07193,135.71758
-36.04752,135.69413
-36.0874,135.69232
-35.73249,135.68602
-35.892,135.662
-35.79422,135.64809
-35.866,135.64
-35.7195,135.60695
-35.76127,135.59361
-35.73363,135.59333
-35.90186,135.57627
-35.74349,135.57218
-35.7565,135.56204
-35.77514,135.55333
-35.78976,135.5479
-35.828,135.546
-35.6036,135.53707
-35.651,135.534
-35.651,135.534
-35.921,135.531
-35.832,135.529
-35.64356,135.52606
-35.61212,135.5232
-35.68944,135.51979
-35.68073,135.51927
-35.67116,135.51457
41.5,-135.5
40.5,-135.5
34.5,-135.5
31.5,-135.5
-35.80165,135.49683
-35.80857,135.48409
-35.82221,135.4783
-35.779,135.478
-35.7787,135.46277
-35.81795,135.45544
-35.784,135.449
-35.67235,135.42704
-35.65041,135.40214
-35.64299,135.39312
-35.65587,135.38143
-35.74961,135.38017
-35.56191,135.34747
-35.73829,135.33815
-35.67248,135.32582
-35.69342,135.28048
-35.60126,135.25602
-35.58877,135.24849
-35.57589,135.24446
-35.67026,135.24393
-35.58288,135.23635
-35.64726,135.23491
-35.59185,135.22987
-35.65346,135.22784
-35.63881,135.22485
-35.64183,135.2109
-35.65451,135.19147
-35.56661,135.18472
-35.55575,135.17407
-35.55824,135.15744
-35.6002,135.12736
-35.56318,135.11964
-35.56318,135.11964
-35.59135,135.11233
-35.60004,135.11069
-35.57081,135.1032
-35.57869,135.0766
-35.55041,135.00959
-35.52953,134.96237
-35.44604,134.91011
-35.47735,134.8428
-35.47097,134.81832
-35.43815,134.80456
-35.41779,134.79161
-35.40269,134.75194
-35.4009,134.72621
-35.41803,134.71414
-35.324,134.71149
-35.38328,134.70731
-35.31739,134.7012
-35.41702,134.70067
-35.37516,134.69872
-35.32624,134.69201
-35.3475,134.68993
-35.38693,134.68761
-35.38873,134.68441
-35.33672,134.68213
-35.37646,134.67281
-35.31422,134.61622
41.5,-134.5
40.5,-134.5
35.5,-134.5
30.5,-134.5
29.5,-134.5
28.5,-134.5
27.5,-134.5
26.5,-134.5
25.5,-134.5
-35.17658,134.48628
-35.14982,134.33478
-35.15077,134.3081
-35.15287,134.2502
-35.12572,134.18253
-35.12572,134.18253
-35.19615,134.18248
-35.11779,134.17053
-35.05254,134.05811
49.5,-133.5
48.5,-133.5
44.5,-133.5
41.5,-133.5
40.5,-133.5
39.5,-133.5
38.5,-133.5
37.5,-133.5
36.5,-133.5
35.5,-133.5
24.5,-133.5
23.5,-133.5
22.5,-133.5
47.5,-132.5
46.5,-132.5
45.5,-132.5
43.5,-132.5
42.5,-132.5
39.5,-132.5
38.5,-132.5
37.5,-132.5
36.5,-132.5
35.5,-132.5
34.5,-132.5
33.5,-132.5
21.5,-132.5
46.5,-131.5
41.5,-131.5
40.5,-131.5
39.5,-131.5
38.5,-131.5
35.5,-131.5
33.5,-131.5
32.5,-131.5
31.5,-131.5
20.5,-131.5
52.01,-131.24
51.97,-131.22
52.2,-131.16
40.7445,-131.011167
42.661333,-131.000667
42.443167,-130.8055
45.413833,-130.673833
37.77,-130.59
41.5,-130.5
40.5,-130.5
39.5,-130.5
37.5,-130.5
34.5,-130.5
30.5,-130.5
19.5,-130.5
18.5,-130.5
43.498667,-130.198167
41.030667,-130.053333
77.641245,13.958413
78.175809,13.908806
79.66931,13.902338
79.665593,13.871418
79.688698,13.857297
78.167583,13.829267
78.141974,13.786898
79.656959,13.771619
79.652206,13.767615
78.141413,13.716964
78.1565,13.697667
78.133099,13.590946
78.131667,13.577833
77.060403,13.499383
78.1672,13.4967
78.1401,13.3429
78.148942,13.321655
78.08,13.3
76.827667,13.277167
78.105237,13.172287
78.111882,13.063364
78.077887,13.035527
78.135167,13.021333
78.102826,13.019359
43.066333,-129.894833
39.609,-129.8237
40.0935,-129.7072
43.0145,-129.65
40.5,-129.5
39.5,-129.5
36.5,-129.5
29.5,-129.5
28.5,-129.5
18.5,-129.5
17.5,-129.5
41.185,-129.256167
40.073667,-128.750833
48.5,-128.5
47.5,-128.5
39.5,-128.5
38.5,-128.5
36.5,-128.5
35.5,-128.5
28.5,-128.5
27.5,-128.5
16.5,-128.5
15.5,-128.5
14.5,-128.5
41.98,-128.42
41.985833,-128.347333
41.98,-128.24
40.3815,-128.125833
41.941,-128.119
39.6907,-127.9413
44.834667,-127.8735
40.351333,-127.639
38.178833,-127.631833
38.684667,-127.631667
38.17,-127.63
49.5,-127.5
48.5,-127.5
46.5,-127.5
45.5,-127.5
44.5,-127.5
39.5,-127.5
38.5,-127.5
37.5,-127.5
35.5,-127.5
26.5,-127.5
14.5,-127.5
37.759333,-127.4855
41.810333,-127.4745
37.823,-127.400667
40.248833,-127.235833
37.9762,-127.1253
34.320833,-127.051833
47.4867,-126.9815
36.55,-126.83
38.5,-126.81
40.333,-126.781
36.438333,-126.770333
39.2177,-126.7067
38.479167,-126.695333
39.418,-126.6295
37.219667,-126.618333
40.307333,-126.574333
39.4323,-126.5043
49.5,-126.5
